index,gameId,gameDuraton,blueWins,blueFirstBlood,blueFirstTower,blueFirstBaron,blueFirstDragon,blueFirstInhibitor,blueDragonKills,blueBaronKills,blueTowerKills,blueInhibitorKills,blueWardPlaced,blueWardkills,blueKills,blueDeath,blueAssist,blueChampionDamageDealt,blueTotalGold,blueTotalMinionKills,blueTotalLevel,blueAvgLevel,blueJungleMinionKills,blueKillingSpree,blueTotalHeal,blueObjectDamageDealt,redWins,redFirstBlood,redFirstTower,redFirstBaron,redFirstDragon,redFirstInhibitor,redDragonKills,redBaronKills,redTowerKills,redInhibitorKills,redWardPlaced,redWardkills,redKills,redDeath,redAssist,redChampionDamageDealt,redTotalGold,redTotalMinionKills,redTotalLevel,redAvgLevel,redJungleMinionKills,redKillingSpree,redTotalHeal,redObjectDamageDealt
blueTowerKills,-0.019476354084171227,0.43129559790068644,0.7084053050812694,0.18287903278431272,0.4661193908487294,0.5296673437506698,0.26787337311056836,0.7795783706708109,0.6167228031016948,0.5481184910117778,1.0,0.7695696462363746,0.4098744709091528,0.39696119555329357,0.5443449564574812,-0.1757943136453157,0.4016300408306871,0.448597869386629,0.5991096140980522,0.46940234560442745,0.5125454018870487,0.5125454018870492,0.5643583231934525,0.4813004212968593,0.4765117439967571,0.8275596492116365,-0.7084053050812683,-0.17758049587932737,-0.43587403099341127,-0.13265746514904778,-0.15387158238926732,-0.4258452935256973,-0.14453300128525887,-0.06466848402866612,-0.3798801444174548,-0.32049820540207513,0.33903382443325375,0.2627680739934243,-0.17743344068417394,0.5423901954723197,-0.14133627343083313,0.15783334519957706,0.1334422811192528,0.33486667890343336,0.167931444840913,0.1679314448409158,0.13862430590558864,-0.17890122404068395,0.13134666682158874,-0.16197447139367982
blueInhibitorKills,0.0008939710451070106,0.2936276928489592,0.5543674726184423,0.12012605434291722,0.28706728803162335,0.4073305858781712,0.11598824405696834,0.7952595730738435,0.3978238267079566,0.4546024762535214,0.7695696462363746,1.0,0.17149884625720452,0.18056272707376478,0.547387567201525,0.011203166436120392,0.4930343231819878,0.4799944055906222,0.5323018679280627,0.22251366447353493,0.4692863630531199,0.46928636305311605,0.2896575725521214,0.4999261067990977,0.41782266954754677,0.5753194768950162,-0.5543674726184423,-0.11736982559620047,-0.2713945335497522,-0.19007249210169674,-0.1603526386819703,-0.3941184901198545,-0.1906149903038951,-0.12629419244004542,-0.3265145502477928,-0.240702174136816,0.12316284229652764,0.08637703778524092,0.008983722487986998,0.5463525873026535,0.05792332409738494,0.24691191048283836,0.19605358239219178,0.16913249088360927,0.22441813820710574,0.22441813820710638,-0.04008205462809232,0.005769906280987499,0.1297853099801317,-0.20599443714164667
blueWardPlaced,-0.08346443137210022,0.8406848642592007,0.03754196006489565,0.007325100653826411,0.06666454025734385,0.39960356342755177,0.15653807592806804,0.1519923796684548,0.5210191590017804,0.48476280187261955,0.4098744709091528,0.17149884625720452,1.0,0.8658431041823014,0.1045194009152713,0.06458052586075148,0.03214256118504415,0.37526619749439283,0.5228704313161489,0.8947742152232058,0.4695924497187225,0.4695924497187236,0.8495712176233843,0.0717855715389604,0.5111223785999158,0.6610665136497513,-0.037541960064895845,-0.00017449918876888756,-0.026209642497076757,0.37624705877090386,0.17060746300262286,0.08954420808925563,0.5015364017071747,0.4685948849318609,0.3330330675126372,0.12913768633499056,0.897658453871225,0.9174102607423368,0.06619698042037102,0.10271738469058568,-0.001615627365417101,0.35733376846442944,0.4943786739187675,0.890574471798922,0.45004889647273855,0.45004889647274154,0.8252473707339919,0.037931630625619675,0.5018755882302102,0.5937750299373993
blueWardkills,-0.05245130459140514,0.8049570081511167,0.07048457934812005,0.013368198254777147,0.0926756421181091,0.3878448167312264,0.12076171741644263,0.1722459243517681,0.4987084008655038,0.46535956739517836,0.39696119555329357,0.18056272707376478,0.8658431041823014,1.0,0.10853651838566862,0.03424008712221227,0.08260436745990075,0.36735312297028594,0.51370227838107,0.8568697460244965,0.4729458547229121,0.47294585472291817,0.8117849970854345,0.0897884841024825,0.5159084984694247,0.6316547974765239,-0.07048457934812019,-0.007638645209916312,-0.0600853012590705,0.33021001714207043,0.1367284245715253,0.05655441087450204,0.43165932335321305,0.42087937306584317,0.25795039379748774,0.08754840062136114,0.9199121411723711,0.8527404453449557,0.0356677889388424,0.10671434416717888,0.030460744517002245,0.33985175266792456,0.4596246594682526,0.8342818007379585,0.43632458752870074,0.43632458752870407,0.7452853842061085,0.022516047861583264,0.45983117222811676,0.505216561328925
blueKills,-0.015259247541277656,0.36672382648574525,0.453521172044525,0.13187112875376272,0.2743189957606184,0.299191852731359,0.0819482871335874,0.48879377754214115,0.3352463602531897,0.33249482603023667,0.5443449564574812,0.547387567201525,0.1045194009152713,0.10853651838566862,1.0,0.44009879440617516,0.8828294578373229,0.8309447759178988,0.8195337857417097,0.16023277600067104,0.77035942761588,0.7703594276158903,0.13905806541792395,0.9231716935025907,0.5446209011718804,0.43356593956202005,-0.4535211720445238,-0.12437951878206623,-0.2337363560482861,-0.06342662146078555,-0.2387326194503691,-0.13764156486914358,-0.1785349207192671,0.0030627192984235664,-0.16728733089927347,0.015356935189042123,0.059277617382517606,0.02708797099753848,0.43784772384931325,0.9997337043871748,0.44637627668609997,0.6260059293709085,0.5194087368394888,0.08681035375827256,0.5364427892913396,0.5364427892913417,-0.08893916208397332,0.4092163174783366,0.30391482501263284,-0.10907465373973615
blueDeath,-0.014959289501116465,0.3740594758645342,-0.43978161226645396,-0.15295488810031374,-0.23211190538156345,-0.047176550204268426,-0.2181865472060248,-0.14488276718662157,-0.16829609258579517,0.015489908570389361,-0.1757943136453157,0.011203166436120392,0.06458052586075148,0.03424008712221227,0.44009879440617516,1.0,0.4457114139580844,0.6332905027444217,0.5283826733575918,0.09088977278044524,0.5428384245859766,0.5428384245859776,-0.07842805437625425,0.41250490433071746,0.3120808022207202,-0.1078111510707938,0.43978161226645374,0.16040323993825523,0.2733017028082433,0.3133518842865958,0.06495969110055332,0.48240538705250124,0.33029924505303737,0.3485704119836081,0.5552152361482617,0.5463618301469019,0.11549374399742462,0.12107505193728893,0.9997335320343931,0.44225844358277366,0.877736133552906,0.8341367157816485,0.825016797218936,0.16985022199031552,0.7728714979258049,0.7728714979258033,0.15828680916670493,0.924715534486319,0.5525336072943445,0.46161384658796556
blueAssist,0.027354979660254162,0.3370855914286182,0.37297445799912093,0.08235450463280473,0.18182665209998597,0.2423077701988856,-0.023810990399549474,0.4368876957816339,0.20424214374794486,0.2830458148081484,0.4016300408306871,0.4930343231819878,0.03214256118504415,0.08260436745990075,0.8828294578373229,0.4457114139580844,1.0,0.8030223783613253,0.744467100873083,0.07677016700709542,0.7438891657904458,0.7438891657904446,0.025945176138936557,0.8453578571977739,0.5317254960306801,0.28840667628515265,-0.37297445799912043,-0.07657685709157944,-0.14964335797909414,-0.0650141549717911,-0.24384793744919603,-0.08432606184500507,-0.17620763416335516,0.00010547786816985925,-0.13751612199782742,0.057307837029118555,-0.005554117007582449,0.02404148086381078,0.4433379215155818,0.8826345084156614,0.562004626663368,0.629386350321735,0.5136479075636516,0.03538693529957579,0.5577512004167194,0.5577512004167154,-0.13046475412810693,0.4375615216622029,0.3298659021000285,-0.1208387162907612
blueChampionDamageDealt,0.009711732979957624,0.6846588112760147,0.18018049854369889,0.03344606199311777,0.12573658693212952,0.3136907082404939,0.0069384087437187126,0.35048823647246274,0.33595526729719905,0.404906580910071,0.448597869386629,0.4799944055906222,0.37526619749439283,0.36735312297028594,0.8309447759178988,0.6332905027444217,0.8030223783613253,1.0,0.9215664442474372,0.4410956323580317,0.8828505375454248,0.882850537545431,0.34892765080015437,0.7755574222719614,0.7236281275136073,0.47219908728795734,-0.1801804985436988,-0.025798561561081748,-0.08262262560501442,0.1732248904250179,-0.1074656108952666,0.09032872451248031,0.1405540676563608,0.2792239971912991,0.16602210226121897,0.2510698523767698,0.356552378646038,0.3376238230412046,0.6321482984284009,0.8306028020423867,0.6385585362005949,0.8712493687381658,0.8070658920964906,0.41295552878882363,0.7957823235276463,0.7957823235276449,0.2514660920966442,0.5912045843221309,0.6841081806433589,0.2596704096432919
blueTotalGold,-0.027175148622016143,0.7768349578031368,0.2764810403351193,0.06834654819075615,0.2052843217021244,0.4288764527425832,0.07744196652877171,0.42865864021525096,0.46468764428148324,0.516807391999925,0.5991096140980522,0.5323018679280627,0.5228704313161489,0.51370227838107,0.8195337857417097,0.5283826733575918,0.744467100873083,0.9215664442474372,1.0,0.6089586458138487,0.9589452482975495,0.9589452482975571,0.5178340048676617,0.7597137430066073,0.7422898767804362,0.6460466162726609,-0.27648104033511933,-0.057026681771506084,-0.1419734196589432,0.18422188204944748,-0.09290792762685696,0.039688349292230744,0.17665000693829486,0.2916667502542748,0.1413195124152765,0.20101747347685556,0.49742173671008866,0.4604765754392027,0.5274242027729513,0.8190152399449233,0.5202332654583487,0.8092995022693714,0.8143233206792168,0.5534459390184612,0.8174473720976584,0.8174473720976736,0.35870766682620825,0.4921408405446983,0.6017728358060219,0.2952260889499556
blueTotalMinionKills,-0.06290658120254579,0.9006998437416791,0.07885347447624035,0.02970311514196858,0.1151469303664462,0.38737988889774916,0.1685487895548144,0.18394291045823719,0.5320843643305729,0.4661517836265894,0.46940234560442745,0.22251366447353493,0.8947742152232058,0.8568697460244965,0.16023277600067104,0.09088977278044524,0.07677016700709542,0.4410956323580317,0.6089586458138487,1.0,0.5798723650923544,0.5798723650923495,0.8814521067672202,0.12570390608623017,0.5630368561784502,0.6823450689580878,-0.07885347447624048,-0.01871501343631176,-0.05329038002086543,0.39364099488493826,0.16083748379272095,0.0912654358932461,0.49969239237197477,0.4808226348411644,0.32626332052154267,0.16494897565211056,0.8886529954728879,0.8337191616478591,0.09231290685326678,0.15821469835204754,0.037337480583727135,0.41282040873920994,0.5500793870374436,0.9381222456313154,0.5363960777159417,0.5363960777159504,0.8362594176302408,0.06353512288286957,0.5393457018837768,0.5925544426225421
blueTotalLevel,0.005505876742568781,0.7553768952964595,0.22612674336981878,0.04568486011573325,0.16517613142059615,0.3972014585996162,0.04214988365631565,0.38235465716322453,0.3972691647246606,0.468861810739042,0.5125454018870487,0.4692863630531199,0.4695924497187225,0.4729458547229121,0.77035942761588,0.5428384245859766,0.7438891657904458,0.8828505375454248,0.9589452482975495,0.5798723650923544,1.0,1.0000000000000064,0.45783843664706125,0.7218779399257162,0.7048970016252937,0.5591691022651337,-0.22612674336981814,-0.030601784755621877,-0.08026361711231939,0.19116352185051927,-0.08445440595101804,0.0811855300415336,0.17853626704486625,0.27811629180127606,0.17080297960536722,0.22520700019205458,0.4487725858799578,0.43275662871241444,0.541927939933933,0.7700780944340387,0.5620282056733622,0.7938467319985227,0.814825742776979,0.5345972853364879,0.8766033620941874,0.8766033620941918,0.34088704799648284,0.5126263051980346,0.5928338306501262,0.29409266341764884
